Event,Round,Diver,Country,Rank,DiveNo,Difficulty,JScore,Judge,JCountry
W3mSB,Final,FU Mingxia,CHN,1,2,3.1,6.5,HUBER Peter,AUT
W3mSB,Final,FU Mingxia,CHN,1,2,3.1,8,HOOD Robin,NZL
W3mSB,Final,FU Mingxia,CHN,1,2,3.1,8,HASSAN Mostafa,EGY
W3mSB,Final,FU Mingxia,CHN,1,2,3.1,7,BOUSSARD Michel,FRA
W3mSB,Final,FU Mingxia,CHN,1,2,3.1,6.5,RUIZ-PEDREGUERA Rolando,CUB
W3mSB,Final,FU Mingxia,CHN,1,3,3,8.5,GEISSBUHLER Michael,SUI
W3mSB,Final,FU Mingxia,CHN,1,3,3,9,MENA Jesus,MEX
W3mSB,Final,FU Mingxia,CHN,1,3,3,9,HUBER Peter,AUT
W3mSB,Final,FU Mingxia,CHN,1,3,3,5.5,HOOD Robin,NZL
W3mSB,Final,FU Mingxia,CHN,1,3,3,8.5,HASSAN Mostafa,EGY
W3mSB,Final,FU Mingxia,CHN,1,3,3,7,BOUSSARD Michel,FRA
W3mSB,Final,FU Mingxia,CHN,1,3,3,8.5,RUIZ-PEDREGUERA Rolando,CUB
W3mSB,Final,FU Mingxia,CHN,1,4,3,8,GEISSBUHLER Michael,SUI
W3mSB,Final,FU Mingxia,CHN,1,4,3,8.5,MENA Jesus,MEX
W3mSB,Final,FU Mingxia,CHN,1,4,3,9,HUBER Peter,AUT
W3mSB,Final,FU Mingxia,CHN,1,4,3,8.5,HOOD Robin,NZL
W3mSB,Final,FU Mingxia,CHN,1,4,3,9,HASSAN Mostafa,EGY
W3mSB,Final,FU Mingxia,CHN,1,4,3,9.5,BOUSSARD Michel,FRA
W3mSB,Final,FU Mingxia,CHN,1,4,3,9.5,RUIZ-PEDREGUERA Rolando,CUB
W3mSB,Final,FU Mingxia,CHN,1,5,2.9,9,GEISSBUHLER Michael,SUI
W3mSB,Final,FU Mingxia,CHN,1,5,2.9,8.5,MENA Jesus,MEX
W3mSB,Final,FU Mingxia,CHN,1,5,2.9,8.5,HUBER Peter,AUT
W3mSB,Final,FU Mingxia,CHN,1,5,2.9,9,HOOD Robin,NZL
W3mSB,Final,FU Mingxia,CHN,1,5,2.9,9,HASSAN Mostafa,EGY
W3mSB,Final,FU Mingxia,CHN,1,5,2.9,9,BOUSSARD Michel,FRA
W3mSB,Final,FU Mingxia,CHN,1,5,2.9,9,RUIZ-PEDREGUERA Rolando,CUB
W3mSB,Final,GUO Jingjing,CHN,2,1,3,7.5,GEISSBUHLER Michael,SUI
W3mSB,Final,GUO Jingjing,CHN,2,1,3,8,MENA Jesus,MEX
W3mSB,Final,GUO Jingjing,CHN,2,1,3,8.5,HUBER Peter,AUT
W3mSB,Final,GUO Jingjing,CHN,2,1,3,8.5,HOOD Robin,NZL
W3mSB,Final,GUO Jingjing,CHN,2,1,3,8,HASSAN Mostafa,EGY
W3mSB,Final,GUO Jingjing,CHN,2,1,3,8,BOUSSARD Michel,FRA
W3mSB,Final,GUO Jingjing,CHN,2,1,3,7.5,RUIZ-PEDREGUERA Rolando,CUB
W3mSB,Final,GUO Jingjing,CHN,2,2,3,7,GEISSBUHLER Michael,SUI
W3mSB,Final,GUO Jingjing,CHN,2,2,3,7.5,MENA Jesus,MEX
W3mSB,Final,GUO Jingjing,CHN,2,2,3,7,HUBER Peter,AUT
W3mSB,Final,GUO Jingjing,CHN,2,2,3,6.5,HOOD Robin,NZL
W3mSB,Final,GUO Jingjing,CHN,2,2,3,7.5,HASSAN Mostafa,EGY
W3mSB,Final,GUO Jingjing,CHN,2,2,3,7,BOUSSARD Michel,FRA
W3mSB,Final,GUO Jingjing,CHN,2,2,3,7.5,RUIZ-PEDREGUERA Rolando,CUB
W3mSB,Final,GUO Jingjing,CHN,2,3,3.1,7,GEISSBUHLER Michael,SUI
W3mSB,Final,GUO Jingjing,CHN,2,3,3.1,7.5,MENA Jesus,MEX
W3mSB,Final,GUO Jingjing,CHN,2,3,3.1,7.5,HUBER Peter,AUT
W3mSB,Final,GUO Jingjing,CHN,2,3,3.1,7.5,HOOD Robin,NZL
W3mSB,Final,GUO Jingjing,CHN,2,3,3.1,7.5,HASSAN Mostafa,EGY
W3mSB,Final,GUO Jingjing,CHN,2,3,3.1,7.5,BOUSSARD Michel,FRA
W3mSB,Final,GUO Jingjing,CHN,2,3,3.1,8.5,RUIZ-PEDREGUERA Rolando,CUB
W3mSB,Final,GUO Jingjing,CHN,2,4,3.1,8.5,GEISSBUHLER Michael,SUI
W3mSB,Final,GUO Jingjing,CHN,2,4,3.1,7.5,MENA Jesus,MEX
W3mSB,Final,GUO Jingjing,CHN,2,4,3.1,8,HUBER Peter,AUT
W3mSB,Final,GUO Jingjing,CHN,2,4,3.1,7.5,HOOD Robin,NZL
W3mSB,Final,GUO Jingjing,CHN,2,4,3.1,8,HASSAN Mostafa,EGY
W3mSB,Final,GUO Jingjing,CHN,2,4,3.1,7.5,BOUSSARD Michel,FRA
W3mSB,Final,GUO Jingjing,CHN,2,4,3.1,8,RUIZ-PEDREGUERA Rolando,CUB
W3mSB,Final,GUO Jingjing,CHN,2,5,3,7,GEISSBUHLER Michael,SUI
W3mSB,Final,GUO Jingjing,CHN,2,5,3,8,MENA Jesus,MEX
W3mSB,Final,GUO Jingjing,CHN,2,5,3,7.5,HUBER Peter,AUT
W3mSB,Final,GUO Jingjing,CHN,2,5,3,7.5,HOOD Robin,NZL
W3mSB,Final,GUO Jingjing,CHN,2,5,3,6.5,HASSAN Mostafa,EGY
W3mSB,Final,GUO Jingjing,CHN,2,5,3,8,BOUSSARD Michel,FRA
W3mSB,Final,GUO Jingjing,CHN,2,5,3,7.5,RUIZ-PEDREGUERA Rolando,CUB
W3mSB,Final,LINDNER Doerte,GER,3,1,2.8,8,GEISSBUHLER Michael,SUI
W3mSB,Final,LINDNER Doerte,GER,3,1,2.8,7.5,MENA Jesus,MEX
W3mSB,Final,LINDNER Doerte,GER,3,1,2.8,7.5,HUBER Peter,AUT
W3mSB,Final,LINDNER Doerte,GER,3,1,2.8,7,HOOD Robin,NZL
W3mSB,Final,LINDNER Doerte,GER,3,1,2.8,7.5,HASSAN Mostafa,EGY
W3mSB,Final,LINDNER Doerte,GER,3,1,2.8,7.5,BOUSSARD Michel,FRA
W3mSB,Final,LINDNER Doerte,GER,3,1,2.8,7.5,RUIZ-PEDREGUERA Rolando,CUB
W3mSB,Final,LINDNER Doerte,GER,3,2,3,7,GEISSBUHLER Michael,SUI
W3mSB,Final,LINDNER Doerte,GER,3,2,3,7.5,MENA Jesus,MEX
W3mSB,Final,LINDNER Doerte,GER,3,2,3,8,HUBER Peter,AUT
W3mSB,Final,LINDNER Doerte,GER,3,2,3,8.5,HOOD Robin,NZL
W3mSB,Final,LINDNER Doerte,GER,3,2,3,8,HASSAN Mostafa,EGY
W3mSB,Final,LINDNER Doerte,GER,3,2,3,7,BOUSSARD Michel,FRA
W3mSB,Final,LINDNER Doerte,GER,3,2,3,7.5,RUIZ-PEDREGUERA Rolando,CUB
W3mSB,Final,LINDNER Doerte,GER,3,3,3.1,7,GEISSBUHLER Michael,SUI
W3mSB,Final,LINDNER Doerte,GER,3,3,3.1,7,MENA Jesus,MEX
W3mSB,Final,LINDNER Doerte,GER,3,3,3.1,7,HUBER Peter,AUT
W3mSB,Final,LINDNER Doerte,GER,3,3,3.1,7,HOOD Robin,NZL
W3mSB,Final,LINDNER Doerte,GER,3,3,3.1,7.5,HASSAN Mostafa,EGY
W3mSB,Final,LINDNER Doerte,GER,3,3,3.1,7,BOUSSARD Michel,FRA
W3mSB,Final,LINDNER Doerte,GER,3,3,3.1,7.5,RUIZ-PEDREGUERA Rolando,CUB
W3mSB,Final,LINDNER Doerte,GER,3,4,3,8.5,GEISSBUHLER Michael,SUI
W3mSB,Final,LINDNER Doerte,GER,3,4,3,8.5,MENA Jesus,MEX
W3mSB,Final,LINDNER Doerte,GER,3,4,3,8,HUBER Peter,AUT
