yearID,teamID,RS,RA,W,G,WP,WP_Pythag_2
2021,BOS,829,749,92,162,0.5679012345679012,0.5505671175941844
2021,CHA,796,636,93,162,0.5740740740740741,0.6103541814370703
2021,CHN,705,839,71,162,0.4382716049382716,0.4138612393896145
2021,CIN,786,760,83,162,0.5123456790123457,0.5168128385907265
2021,CLE,717,727,80,162,0.49382716049382713,0.4930751243504332
2021,COL,739,796,74,161,0.45962732919254656,0.4629175824781286
2021,DET,697,756,77,162,0.47530864197530864,0.45946119762234655
2021,HOU,863,658,95,162,0.5864197530864198,0.6323750799204914
2021,KCA,686,788,74,162,0.4567901234567901,0.4311303296260329
2021,LAA,723,804,77,162,0.47530864197530864,0.4471036526692583
2021,LAN,830,561,106,162,0.654320987654321,0.686414493120411
2021,MIA,623,701,67,162,0.41358024691358025,0.44129137152797515
2021,MIL,738,623,95,162,0.5864197530864198,0.5838976900060358
2021,MIN,729,834,73,162,0.4506172839506173,0.4331233083699471
2021,NYA,711,669,92,162,0.5679012345679012,0.5304066176887193
2021,NYN,636,668,77,162,0.47530864197530864,0.4754748918563099
2021,OAK,743,687,86,162,0.5308641975308642,0.5391008751799284
2021,PHI,734,745,82,162,0.5061728395061729,0.49256295364428526
2021,PIT,609,833,61,162,0.3765432098765432,0.34832029452369995
2021,SDN,729,708,79,162,0.4876543209876543,0.5146106584164888
2021,SEA,697,748,90,162,0.5555555555555556,0.4647497926458391
2021,SFN,804,594,107,162,0.6604938271604939,0.6468998811110711
2021,SLN,706,672,90,162,0.5555555555555556,0.524658428243616
2021,TBA,857,651,100,162,0.6172839506172839,0.6341023095186704
2021,TEX,625,815,60,162,0.37037037037037035,0.3703133146892923
2021,TOR,846,663,91,162,0.5617283950617284,0.61951466521248
2021,WAS,724,820,65,162,0.4012345679012346,0.4380632738747894
