row_idx,player_szn,szn,PLAYER_ID,PLAYER_NAME,FGA_freq_Spotup_OG,FGA_freq_PRRollMan_OG,FGA_freq_Postup_OG,FGA_freq_Cut_OG,FGA_freq_OffRebound_OG,FGA_freq_PRBallHandler_OG,FGA_freq_Isolation_OG,FGA_freq_OffScreenOrHandoff_OG
3514,Alex Caruso 2017,2017,1627936,Alex Caruso,0.35000000000000003,0,0,0.15000000000000002,0,0.5000000000000001,0,0
3515,Alex Caruso 2018,2018,1627936,Alex Caruso,0.2363636363636364,0,0,0.0909090909090909,0,0.5454545454545455,0.07272727272727274,0.05454545454545454
3516,Alex Caruso 2019,2019,1627936,Alex Caruso,0.4444444444444445,0.05555555555555556,0,0.08333333333333333,0,0.3055555555555556,0.02777777777777778,0.08333333333333333
3517,Alex Caruso 2020,2020,1627936,Alex Caruso,0.49999999999999994,0,0,0.10526315789473682,0,0.31578947368421045,0.05263157894736841,0.026315789473684206
3518,Alex Caruso 2021,2021,1627936,Alex Caruso,0.5714285714285714,0,0,0.10204081632653061,0.061224489795918366,0.22448979591836737,0,0.04081632653061224
3519,Alex Caruso 2022,2022,1627936,Alex Caruso,0.59375,0.06250000000000001,0,0.15625000000000003,0.06250000000000001,0.12500000000000003,0,0
3520,Josh Gray 2017,2017,1627982,Josh Gray,0,0,0,0,0,1,0,0
3521,Myke Henry 2017,2017,1627988,Myke Henry,0.6,0,0,0.12500000000000003,0,0.12500000000000003,0,0.15
3522,David Nwaba 2016,2016,1628021,David Nwaba,0.380952380952381,0,0,0.33333333333333326,0.2857142857142857,0,0,0
3523,David Nwaba 2017,2017,1628021,David Nwaba,0.30952380952380953,0,0.04761904761904763,0.19047619047619052,0.14285714285714285,0.07142857142857142,0.09523809523809526,0.14285714285714288
3524,David Nwaba 2018,2018,1628021,David Nwaba,0.6000000000000001,0,0,0.17142857142857143,0.08571428571428572,0.05714285714285715,0.08571428571428572,0
3525,David Nwaba 2019,2019,1628021,David Nwaba,1,0,0,0,0,0,0,0
3526,David Nwaba 2020,2020,1628021,David Nwaba,0.5624999999999999,0.08333333333333333,0,0.12499999999999999,0.16666666666666666,0.06249999999999999,0,0
