ydl,next_ydl,season,punter,pq
70,75,2015,R.Quigley,0.03916410968796318
74,73,2015,D.Jones,0.8868277292111194
70,75,2015,R.Quigley,0.04619024785087854
53,88,2015,D.Jones,0.892280721804302
57,90,2015,R.Quigley,0.053181255322979404
85,49,2015,D.Jones,0.8943193933581152
78,70,2015,D.Jones,0.8804209301819413
75,70,2015,R.Quigley,0.06611254849065654
65,81,2015,D.Jones,0.8872420706128373
63,69,2015,D.Jones,0.8921507375099165
80,51,2015,D.Jones,0.8770460586147618
52,92,2015,J.Hekker,0.737596762815194
42,80,2015,J.Hekker,0.7454025298655776
60,85,2015,J.Berry,-0.3841576374620052
52,82,2015,J.Hekker,0.7301536017272441
73,88,2015,J.Berry,-0.37308893316174513
79,71,2015,J.Hekker,0.7234184573229988
63,71,2015,J.Berry,-0.34088082063718933
51,83,2015,J.Berry,-0.3469047162895948
58,94,2015,J.Locke,0.09266339233482078
87,68,2015,M.Scifres,0.581622910790815
44,93,2015,M.Scifres,0.599758335295406
50,80,2015,J.Locke,0.11227293176517551
55,67,2015,M.Scifres,0.6048363853222127
51,88,2015,M.Scifres,0.5795062283904915
80,90,2015,J.Locke,0.10417804969592649
88,43,2015,M.Scifres,0.5814802490759963
65,86,2015,M.Scifres,0.564535802126486
39,89,2015,J.Locke,0.14690464515050253
45,87,2015,D.Butler,0.09619157948976013
62,81,2015,B.Pinion,-0.4333710909751856
60,81,2015,B.Pinion,-0.42556180405779875
66,80,2015,B.Pinion,-0.42011732982858707
77,19,2015,D.Butler,0.09545604384232073
67,73,2015,B.Pinion,-0.4088455322190516
40,99,2015,D.Butler,0.030420238700130706
40,80,2015,D.Butler,0.04605412568414386
77,79,2015,B.Pinion,-0.4065285600460365
62,88,2015,S.Lechler,0.6272567299062437
79,64,2015,J.Schum,-0.4052515044642554
56,72,2015,J.Schum,-0.3993145246450797
38,80,2015,S.Lechler,0.6399675668012713
48,83,2015,S.Lechler,0.6247354199194044
85,73,2015,J.Schum,-0.4113679287885776
46,89,2015,J.Schum,-0.3837504499298537
59,94,2015,J.Schum,-0.3786962905699332
96,44,2015,S.Lechler,0.6171186853720902
56,74,2015,S.Lechler,0.6116302860300848
68,84,2015,J.Schum,-0.35564944141425
44,85,2015,S.Lechler,0.5974377832852249
74,77,2015,J.Schum,-0.3362359645120108
49,94,2015,B.Wing,-0.2151572531349536
71,64,2015,T.Way,-0.18469442369034642
46,99,2015,B.Wing,-0.2018980392085601
71,74,2015,B.Wing,-0.1831750146421776
56,78,2015,B.Wing,-0.17511800249798593
77,60,2015,J.Berry,-0.3475877045107238
65,79,2015,S.Koch,0.7035967261695946
79,59,2015,J.Berry,-0.3506379691448678
41,91,2015,J.Berry,-0.35226312063232323
85,67,2015,S.Koch,0.7065079943368764
80,45,2015,S.Koch,0.719789217223932
93,28,2015,J.Berry,-0.3462160081160821
81,60,2015,J.Berry,-0.3738481265751706
63,88,2015,J.Berry,-0.37103462416421046
38,80,2015,B.Nortman,0.29918054404749916
66,75,2015,J.Schum,-0.31883640254618506
75,81,2015,B.Nortman,0.28565233227940134
69,55,2015,B.Nortman,0.3071934050634345
75,61,2015,J.Schum,-0.31536007320309584
35,86,2015,B.Nortman,0.2823612128061344
56,92,2015,A.Lee,1.0428106315220282
92,54,2015,M.Scifres,0.5783470639960313
49,82,2015,M.Scifres,0.5827305827251096
49,81,2015,A.Lee,1.052702856117832
72,68,2015,M.Scifres,0.5745066047601205
65,87,2015,A.Lee,1.0406712040598725
39,83,2015,M.Scifres,0.571418631565601
78,79,2015,A.Lee,1.0535596016457573
54,62,2015,M.Scifres,0.5609278830996483
61,86,2015,T.Morstead,0.8424974404029554
60,83,2015,T.Morstead,0.8500381429837269
55,85,2015,C.Jones,0.05656989305829881
78,55,2015,T.Morstead,0.8520202429297447
55,81,2015,C.Jones,0.060221697656020416
82,38,2015,C.Jones,0.05802399232672594
60,67,2015,C.Jones,0.028033183717749082
62,85,2015,C.Jones,0.010800304843987078
52,91,2015,Z.Hocker,-0.45785800717580255
62,80,2015,S.Martin,0.28012659045434746
54,78,2015,J.Ryan,0.5476423588207376
57,74,2015,S.Martin,0.28291057623857985
57,84,2015,J.Ryan,0.5377085435675079
64,67,2015,S.Martin,0.27136821918556925
75,46,2015,S.Martin,0.2576865605704741
50,91,2015,S.Martin,0.22834401680281227
43,89,2015,J.Ryan,0.5394703239379213
83,53,2015,S.Martin,0.23570471929445047
54,86,2015,S.Martin,0.22811364554522826
67,91,2015,J.Ryan,0.5386637623539251
60,85,2015,B.Pinion,-0.38158567860837367
63,79,2015,T.Masthay,0.19693582163657428
66,55,2015,B.Pinion,-0.37052983410238177
47,90,2015,T.Masthay,0.19988534458085475
81,88,2015,B.Pinion,-0.3959512921216486
79,72,2015,T.Masthay,0.20401064597423613
