ID,TEAM,Team_Season,Season End,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,+/-,AST%,AST/TO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,FTA RATE,FT Rate,OPP EFG%,OPP FTA RATE,OPP FT Rate,OPP TOV %,OPP REB %,OPP_FGM,OPP_FGA,OPP_FG%,OPP_3PM,OPP_3PA,OPP_3P%,OPP_FTM,OPP_FTA,OPP_FT%,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_+/-_Per_Game,Possessions,Plus Minus Per Possession,Shooting Factor,Crashing Factor,Protecting Factor,Attacking Factor,Residual W
31,Phoenix Suns,Phoenix Suns2006,2006,82,54,28,0.659,3991,8886,3430,7167,47.9,837,2097,39.9,1189,1475,80.6,778,2650,3428,2179,1088,549,412,282,455,63.5,2,25.6,69,48,13.5,53.7,56.8,96.92,0.206,0.165899260499512,49,0.274,0.199770378874856,15.1,31,39.5,87.1,45.4,6.3,17.4,36.3,17.4,23.9,73.1,12.5,33.4,45.9,18.9,14.9,7.2,3.4,5,-5.5,7800.96,0.0583261547296743,4.7,94.6,-1.6,-3.38711183753448,0.280690975865809
32,Seattle SuperSonics,Seattle SuperSonics2006,2006,82,35,47,0.427,3966,8411,3077,6711,45.9,605,1631,37.1,1652,2104,78.5,1013,2233,3246,1696,1208,622,306,399,-248,55.1,1.4,34,65.9,49.5,15.7,50.4,55.1,93.04,0.314,0.246163015943973,52.7,0.342,0.259950248756219,15.5,34.1,39,80.4,48.5,6.6,17.6,37.5,20.9,27.5,76,12.2,28.2,40.5,24.1,14.6,7.3,4.9,3.7,3,7518.4896,-0.0329853485466017,-2.3,99.9,0.199999999999999,-1.37872328122463,4.41750022387596
33,Washington Wizards,Washington Wizards2006,2006,82,42,40,0.512,3966,8336,2975,6656,44.7,497,1394,35.7,1889,2496,75.7,1035,2344,3379,1523,1143,658,339,341,152,51.2,1.33,32.9,67.9,49.9,14.8,48.4,53.8,93.68,0.375,0.283804086538462,50.4,0.343,0.255696202531646,17.1,32.1,36.8,79,46.5,6.1,16.8,36.3,20.2,27.1,74.5,11.8,30.2,42,21.5,16.2,6.5,4.2,4.1,-1.9,7547.7504,0.0201384507892577,-2,100.8,-2.3,2.8107884006816,-1.98144302098748
34,Toronto Raptors,Toronto Raptors2006,2006,82,27,55,0.329,3991,8287,3013,6639,45.4,608,1620,37.5,1653,2089,79.1,864,2291,3155,1593,1071,529,272,359,-245,52.9,1.49,28.6,69.7,48.4,13.9,50,54.8,92.33,0.315,0.24898328061455,53,0.352,0.263358778625954,15.2,30.3,38.6,78.6,49.1,6.2,16.6,37.3,20.7,27.6,74.8,10.2,31,41.1,23.6,14.2,6.3,4.4,3.3,3,7454.5536,-0.0328658177466187,-3,98.3,-1.3,-1.43754980114038,-3.45298482644318
35,Denver Nuggets,Denver Nuggets2006,2006,82,44,38,0.537,3986,8227,3078,6672,46.1,350,1076,32.5,1721,2312,74.4,903,2486,3389,1921,1216,698,463,436,19,62.4,1.58,30,68.2,49.4,15.4,48.8,53.5,94.9,0.347,0.257943645083933,49.3,0.309,0.227878787878788,16.8,31.8,37.4,82.5,45.4,6.5,18,35.8,18.8,25.5,73.6,11.8,30.1,41.9,23.9,16.1,7.1,5.3,5.6,-0.2,7682.1888,0.00247325345609835,-0.5,98.2,-1.4,3.0064857205145,0.665891861757629
36,Miami Heat,Miami Heat2006,2006,82,52,30,0.634,3951,8191,3039,6355,47.8,497,1441,34.5,1616,2310,70,858,2675,3533,1692,1186,522,442,298,317,55.7,1.43,29.7,72.6,51.9,15.6,51.7,55.6,92.56,0.363,0.254287962234461,47.7,0.34,0.251256281407035,14,27.4,35,79.6,44,6,16.6,36.1,20,27.1,73.9,10.1,28.8,38.8,19.5,13,6.8,3.6,5.4,-3.9,7391.424,0.0428875410205124,4,102.3,1.6,0.303168082742583,-2.3377029487153
37,Los Angeles Lakers,Los Angeles Lakers2006,2006,82,45,37,0.549,3971,8154,2992,6607,45.3,552,1583,34.9,1618,2172,74.5,970,2488,3458,1734,1143,628,350,354,205,58,1.52,31.6,70.1,50.7,15,49.5,53.9,92.22,0.329,0.244891781443923,48.6,0.324,0.241854636591479,15.2,29.9,35.9,79.8,45,5.8,16.4,35.3,19.3,25.9,74.7,10.9,29.3,40.1,21.1,14.1,6.5,4.3,4.3,-2.5,7426.2528,0.0276047699318827,0.899999999999999,101.7,-0.199999999999999,0.303714485244441,-2.57781162367047
38,Philadelphia 76ers,Philadelphia 76ers2006,2006,82,38,44,0.463,3981,8147,3001,6546,45.8,375,1031,36.4,1770,2330,76,873,2425,3298,1653,1159,651,404,386,-160,55.1,1.43,28.5,67.6,48.1,14.9,48.7,53.8,93.91,0.356,0.270394133822181,50,0.315,0.239902080783354,16.3,32.4,37.8,81.7,46.3,6.1,17.3,35.1,19.6,25.7,76.2,11.9,30.9,42.8,23,15.5,7.7,4.7,4.9,2,7542.912,-0.0212119669432707,-1.3,96.1,-1.4,3.04920530388277,0.519890149635302
39,Dallas Mavericks,Dallas Mavericks2006,2006,82,60,22,0.732,3976,8130,2948,6375,46.2,416,1113,37.4,1818,2322,78.3,1030,2431,3461,1473,1112,593,488,400,498,50,1.32,34.7,69,52.2,15,49.5,55,89.3,0.364,0.285176470588235,47.5,0.342,0.256809338521401,15.6,31,34.2,77.1,44.3,4.9,13.7,36.1,19.8,26.4,75.2,11.4,26.9,38.3,17.5,14,6.5,4.9,6,-6.1,7179.5328,0.0693638449565966,2,103.7,-0.6,2.83671320668345,2.38709224820114
40,Sacramento Kings,Sacramento Kings2006,2006,82,44,38,0.537,3966,8106,2954,6500,45.4,494,1408,35.1,1704,2173,78.4,852,2473,3325,1825,1199,608,299,403,126,61.8,1.52,28.9,69.4,49.5,15.6,49.2,54.4,93.26,0.334,0.262153846153846,48.8,0.281,0.209756097560976,15.6,30.6,37.2,82,45.4,5.6,16,35.1,17.2,23.1,74.7,11.6,30.5,42.1,21.1,14.6,8,4.9,3.6,-1.5,7490.9952,0.0168201949989235,0.400000000000006,98.3,0,5.23977485928705,-0.0968320337888855
